brand,url,name,price,image,dimensions,weight,os,generation,screenSize,resolution,touchScreen,backlitKeyboard,internalMemory,ram,graphicsCard,processorType,processorSpeed,battery,BT,wifi,USB,camera,fingerPrintReader
asus,"https://priceoye.pk/laptops/asus/asus-rog-strix-g513qm-gaming-laptop-amd-ryzen-9-5900hx-octa-core-processor-16gb-512gb-ssd
","asus rog strix g513qm gaming laptop amd ryzen 9 5900hx octa core processor 16gb 512gb ssd
","Rs  306,499",https://images.priceoye.pk/asus-rog-strix-g513qm-gaming-laptop-amd-ryzen-9-5900hx-octa-core-processor-16gb-512gb-ssd-pakistan-priceoye-bof1q-500x500.webp,35.4 x 25.9 x 2.07 ~ 2.60 cm,2.30 Kg,Genuine Windows 10 Home,AMD,15.6 inches,1920 x 1080,No,Chiclet Keyboard 4-Zone RGB,512 GB SSD,16GB,NVIDIA® GeForce RTX™ 3060 Laptop GPU With ROG Boost up to 1802MHz at 115W (130W with Dynamic Boost) 6GB GDDR6,AMD Ryzen 9 5900HX Octa-Core,3.3 GHz Turbo Boost Up to 4.6 GHz Max Boost,"56WHrs, 4S1P, 4-cell Li-ion",v5.1,Wi-Fi 6(802.11ax),3x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery,No,No
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-15-6-inches-amd-ryzen-7-16gb-ram-1tb-ssd
","dell inspiron 15 6 inches amd ryzen 7 16gb ram 1tb ssd
","Rs  172,000",https://images.priceoye.pk/dell-inspiron-15-6-inches-amd-ryzen-7-16gb-ram-1tb-ssd-pakistan-priceoye-6wwbp-500x500.webp,14.6 x 356.06 x 228.9mm,1.643 kg ,Genuine Windows 11 Home,AMD,15.6 Inches,1920x1080,Yes,Yes,1TB SSD,16 GB,AMD Radeon(TM) Graphics with shared graphics memory,AMD Ryzen 7 5700U ,"2.0 GHz Max. Boost Clock Up to 4.1GHz (# of CPU Cores 8 # of Threads, 8 L3 Cache 8MB)","4-cell, 54 Wh polymer",Bluetooth 5,Intel® Wi-Fi 6 AX200 2x2 (Gig+),3 Ports,Yes,HD 1280 x 720 at 30 fps
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-2-in-1-14-inches-core-i5-8gb-ram-512gb-ssd
","dell inspiron 2 in 1 14 inches core i5 8gb ram 512gb ssd
","Rs  181,000",https://images.priceoye.pk/dell-inspiron-2-in-1-14-inches-core-i5-8gb-ram-512gb-ssd-pakistan-priceoye-l4r0q-500x500.webp,16.32 mm x 321.50 mm x 211.35 mm,1.50 kg,Windows 10,11th Generation,14 Inches,1920 X 1080,Yes,Yes,512GB SSD,8 GB,Intel® Iris® Xe Graphics,Intel Core i5,"12MB Cache, up to 4.7 GHz",3 cell 41 WHr battery.,Bluetooth 5.1,Wi-Fi 6 2x2 (Gig+),3 Ports,Yes,720p at 30 fps
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5510-15-6-inches-11-gen-core-i5-11320h-8gb-ram-256gb-ssd
","dell inspiron 5510 15 6 inches 11 gen core i5 11320h 8gb ram 256gb ssd
","Rs  167,000",https://images.priceoye.pk/dell-inspiron-5510-15-6-inches-core-i5-8gb-ram-256gb-ssd-pakistan-priceoye-c8d04-500x500.webp,14.6 mm x 356.06 mm x  228.9 mm,1.633 kg,Windows 10 Home,11th Generation,15.6 Inches,1920 x 1080,No,Yes,256GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i5 11320H,"(8MB Cache, up to 4.5GHz)","4-Cell Battery, 54WHr (Integrated)",Bluetooth 5.0,Wi-Fi 6 2x2 (Gig+),3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5510-15-6-inches-core-i5-11300h-8gb-ram-512gb-ssd
","dell inspiron 5510 15 6 inches core i5 11300h 8gb ram 512gb ssd
","Rs  162,999",https://images.priceoye.pk/dell-inspiron-5510-15-6-inches-core-i5-8gb-ram-512gb-ssd-pakistan-priceoye-tarnr-500x500.webp,14.6 mm x 356.06 mm x  228.9 mm,1.633 kg,WINDOW 10 HOME,11th Generation,15.6 Inches,1920 x 1080,No,Yes,512GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i5 - 11300H,"(8MB Cache, up to 4.4 GHz)","4-Cell Battery, 53WHr (Integrated)",Bluetooth 5.0,Wi-Fi 6 2x2 (Gig+),3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5510-15-6-inches-11-gen-core-i7-11390h-8gb-ram-512gb-ssd
","dell inspiron 5510 15 6 inches 11 gen core i7 11390h 8gb ram 512gb ssd
","Rs  190,000",https://images.priceoye.pk/dell-inspiron-pakistan-priceoye-vl9dg-500x500.webp,14.6 mm x 356.06 mm x  228.9 mm,1.633 kg,Windows 11,11th Generation,15.6 Inches,1920 x 1080,No,Yes,512GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i7-11390H,"12MB Cache, up to 5.0GHz with ITBM3.0","4-Cell Battery, 54WHr (Integrated)",Bluetooth 5.0,Wi-Fi 6 2x2 (Gig+),3 Ports,Yes,1280 x 720 at 30 fps camera
dell,"https://priceoye.pk/laptops/dell/dell-xps-9310-13-4-inches-core-i7-1185g7-16gb-ram-512gb-ssd
","dell xps 9310 13 4 inches core i7 1185g7 16gb ram 512gb ssd
","Rs  395,000",https://images.priceoye.pk/dell-xps-9310-13-4-inches-core-i7-1185g7-16gb-ram-512gb-ssd-pakistan-priceoye-zw4a0-500x500.webp,14.8 mm x 295.7 mm x 198.7 mm,1.27 kg,Window 10 Home ,11th Generation,13.4 Inches,3840 x 2400,Yes,Yes,512GB SSD,16 GB,Intel Iris Xe Graphics,Core i7 - 1185G7,"12 MB Cache, 4 Core, up to 4.90 GHz","4-cell, 52 WHr",Bluetooth 5.0,(WiFi 802.11ax),WiFi 802.11ax,Yes,(720p) 2.25mm webcam
dell,"https://priceoye.pk/laptops/dell/dell-latitude-3520-i5-6-inches-core-i5-1135g7-8g-ram-256gb-ssd
","dell latitude 3520 i5 6 inches core i5 1135g7 8g ram 256gb ssd
","Rs  140,000",https://images.priceoye.pk/dell-latitude-3520-i5-6-inches-core-i5-1135g7-8g-ram-256gb-ssd-pakistan-priceoye-4hw77-500x500.webp,18.06 mm x 361 mm x 240.9 mm,1.79 kg,Windows 10 Pro,11th Generation,15.6 Inches,1920 x 1080,No,Yes,256GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i5 - 1135G7,"4 Core, 8M cache, base 2.4GHz, up to 4.2GHz",4 Cell 54Whr,Bluetooth 5.1,Bluetooth 5.1,4 Ports,Yes,720p at 30 fps HD
dell,"https://priceoye.pk/laptops/dell/dell-vostro-3510-core-i5-1135g7-8g-ram-256gb-ssd
","dell vostro 3510 core i5 1135g7 8g ram 256gb ssd
","Rs  105,000",https://images.priceoye.pk/dell-vostro-3510-core-i5-1135g7-8g-ram-256gb-ssd-pakistan-priceoye-wht4f-500x500.webp,17.5 mm x 358.5 mm x 235.56 mm,1.69 kg,Windows 10 Pro ,11th Generation,15.6 Inches  ,1920 X 1080,No,Yes,256GB SSD,8 GB,Intel UHD Graphics,Intel Core i5 -1135G7,"8MB Cache, up to 4.2 GHz","3-Cell Battery, 41WHr ",Bluetooth 5.0,Wireless 802.11ac 1x1,3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5310-13-3-inches-core-i7-11370h-8gb-ram-512gb-ssd
","dell inspiron 5310 13 3 inches core i7 11370h 8gb ram 512gb ssd
","Rs  211,370",https://images.priceoye.pk/dell-inspiron-5310-13-3-inches-core-i7-11370h-8gb-ram-512gb-ssd-pakistan-priceoye-vzizx-500x500.webp,N/A,N/A,Windows 10 & MS office 2019 home and student,11th Generation,13.3 Inches,2560 x 1600,No,Yes,512GB SSD,8 GB,Intel Iris Xe Graphics,Intel Iris Xe Graphics,"12MB Cache,up to 4.8 GHz",4 Cell Li-Ion,Yes,Wi-Fi 6,3 Ports,Yes,No
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-3511-15-6-inches-11-gen-core-i5-4gb-ram-1tb-sata
","dell inspiron 3511 15 6 inches 11 gen core i5 4gb ram 1tb sata
","Rs  155,693",https://images.priceoye.pk/dell-inspiron-3511-15-6-inches-11-gen-core-i5-4gb-ram-1tb-sata-pakistan-priceoye-csi2a-500x500.webp,17.5x 358.5x 235.5 mm,1.85 KG,Windows 11 Home,11 Gen,15.6 Inches,1920x1080 Pixels,No,No,1TB SATA,4GB,NVIDIA GEFORCE MX350 2GB GDDR5 GRAPHIC MEMORY,Core  I5-1135G7,4.20 GHz,"3 Cell, 41 Wh, integrated",Yes,Yes,2 USB 3.2 -1 USB 2.0,No,"720p at 30 fps, HD"
dell,"https://priceoye.pk/laptops/dell/dell-xps-13-1165-g7-13-3-11-gen-core-i7-9305-8gb-512gb
","dell xps 13 1165 g7 13 3 11 gen core i7 9305 8gb 512gb
","Rs  330,999",https://images.priceoye.pk/dell-xps-13-1165-g7-13-3-11-gen-core-i7-9305-8gb-512gb-pakistan-priceoye-4ozfh-500x500.webp,N/A,2.6 lbs. (1.16 kg),Windows 10 HOME,11th Generation,13.3 inches,1920 x 1080 pixels,No,Yes,512 GB SSD,8 GB,Intel Iris Xe Graphics,11th Generation Intel Core i7-1165G7 Tiger Lake,2.8 Ghz Turbo Boost Up to 4.7 GHz,N/A,Yes,Yes,3 Ports,Yes,720p at 30 fps HD
hp,"https://priceoye.pk/laptops/hp/hp-chromebook-x360-14-inches-core-i3-8gbram-64-gb-hdd
","hp chromebook x360 14 inches core i3 8gbram 64 gb hdd
","Rs  67,500",https://images.priceoye.pk/hp-chromebook-x360-14-inches-core-i3-8gbram-64-gb-hdd-pakistan-priceoye-mt9zh-500x500.webp,N/A,1.65 kg,ChromeOS,10th Generation,14 Inches,1920x1080,Yes,Yes,64 GB,8 GB,Intel UHD Graphics,Intel Core i3,2.1 GHz Turbo Boost 4.1 GHz (4 MB Cache),"3-cell, 60 Wh Li-ion",Bluetooth 5 combo,Intel Wi-Fi 6 AX201 (2x2),3 Ports,No,HP Wide Vision 720p HD camera with integrated dual array digital microphones
hp,"https://priceoye.pk/laptops/hp/hp-envy-x360-13-3-inches-core-i5-8gb-ram-256gb-ssd
","hp envy x360 13 3 inches core i5 8gb ram 256gb ssd
","Rs  145,000",https://images.priceoye.pk/hp-envy-x360-13-3-inches-core-i5-8gb-ram-256gb-ssd-pakistan-priceoye-afx4o-500x500.webp,30.65 x 19.46 x 1.64 cm,1.32 kg,Genuine Windows 10 Home,11th Generation,13.3 Inches,1920x1080,Yes,Yes,256GB SSD,8 GB,Intel® Iris® Xᵉ Graphics Integrated,Intel Core i5,2.4 GHz Turbo Boost 4.2 GHz (4 Cores - 8 Threads),"3-cell, 51 Wh Li-ion polymer",Bluetooth® 5 combo,Intel® Wi-Fi CERTIFIED 6™ AX201 (2x2),3 Ports,Yes,HP Wide Vision 720p HD camera 
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-yoga-6-13-3-inches-amd-ryzen-5-08gb-ram-256gb-ssd
","lenovo yoga 6 13 3 inches amd ryzen 5 08gb ram 256gb ssd
","Rs  137,999",https://images.priceoye.pk/lenovo-yoga-6-pakistan-priceoye-whetp-500x500.webp,308.1 x 206.5 x 17.1-18.3 mm,1.32kg / 2.91lbs,Genuine Windows 11 Home,AMD,13.3 Inches,1920 x 1080 ,Yes,Yes,256GB SSD,8 GB,Integrated AMD Radeon™ Graphics,AMD Ryzen 5 5500U,"2.1 GHz up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads)",Integrated 60Wh,BT5.0,"11ax, 2x2",4 Ports,Yes,720p with Privacy Shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkbook-15-6-inches-core-i5-8gb-ram-1tb-hdd
","lenovo thinkbook 15 6 inches core i5 8gb ram 1tb hdd
","Rs  139,999",https://images.priceoye.pk/lenovo-thinkbook-15-6-inches-core-i5-8gb-ram-1tb-hdd-pakistan-priceoye-0k7k9-500x500.webp,N/A,1.7 kg (3.75 lbs),DOS,11th Generation,15.6 Inches,1920 x 1080 ,No,"Non-backlit, English (UK)",1TB HDD,8 GB,2-GB NVIDIA GeForce MX450,Intel Core i5,2.4 GHz Turbo Boost 4.2 GHz,N/A,BT 5.1,"Intel AX201 11ax, 2x2",3 Ports,Touch Style,720p with ThinkShutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-flex-5-15-6-inches-core-i7-16gb-ram-512gb-ssd
","lenovo ideapad flex 5 15 6 inches core i7 16gb ram 512gb ssd
","Rs  142,999",https://images.priceoye.pk/lenovo-ideapad-flex-5-15-6-inches-core-i7-16gb-ram-512gb-ssd-pakistan-priceoye-6rb1u-500x500.webp,N/A,5 LBs,Genuine Windows 11 Home,10th Generation,15.6 Inches,1920 x 1080,Yes,Yes,512GB SSD,16 GB,NVIDIA MX330 2GB GDDR5 Dedicated Graphics,Intel Core i7,1.3 GHz Turbo Boost 3.9 GHz ,N/A,Bluetooth 5.0,Wi-Fi 6 AX201 Wifi,2 Ports,Yes,720p HD Webcam
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e14-14-inches-core-i5-16gb-512gb-ssd
","lenovo thinkpad e14 14 inches core i5 16gb 512gb ssd
","Rs  157,500",https://images.priceoye.pk/lenovo-thinkpad-e14-14-inches-core-i5-16gb-512gb-ssd-pakistan-priceoye-hfo34-500x500.webp,N/A,1.59 KG,DOS,11th Generation,14 Inches,1920 x 1080,No,Yes,512GB SSD,16 GB,Integrated Intel® Iris® Xe Graphics,Intel Core i5,2.4 GHz Turbo Boost 4.2 GHz ,N/A,Bluetooth 5.1,Intel® Wi-Fi 6 AX201 802.11AX (2 x 2),2 Ports,No,720p HD
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-yoga-9-15-6-inches-core-i7-12gb-ram-512gb-ssd
","lenovo yoga 9 15 6 inches core i7 12gb ram 512gb ssd
","Rs  259,900",https://images.priceoye.pk/lenovo-yoga-9-15-6-inches-core-i7-12gb-ram-512gb-ssd-pakistan-priceoye-knc80-500x500.webp,355.5 x 238.5 x 17.5-19.7 mm,2.0 kg (4.41 lbs),Genuine Windows 10 Home,10th Generation,15.6 Inches,1920 x 1080,Yes,Yes,512GB SSD,12 GB,NVIDIA GeForce GTX 1650 Ti 4GB GDDR6,Core i7-10750H,2.6 GHz Turbo Boost 5.0 GHz ,Integrated 69Wh,BT 5.0,"11ax, 2x2",3 Ports,Yes,Yes with Camera privacy shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-l3-15-6-inches-core-i7-08gb-ram-01tb-hdd
","lenovo ideapad l3 15 6 inches core i7 08gb ram 01tb hdd
","Rs  197,000",https://images.priceoye.pk/lenovo-ideapad-l3-15-6-inches-core-i7-08gb-ram-01tb-hdd-pakistan-priceoye-8rdfg-500x500.webp,363mm x 254.6mm x 22.9mm,2.2kg,DOS,10 gen,15.6 Inches,1920 x 1080 pixels,No,No,1TB,4GB Soldered DDR4-2933 + 4GB SO-DIMM DDR4-2933,"Integrated Intel Iris® Xe Graphics, 15.6",Core i7 10TH Generation,N/A,3 Cells Li-ion Battery,Yes,Yes,3,No,720 pixels
apple,"https://priceoye.pk/laptops/apple/apple-macbook-pro-13-3-inches-m1-chip-8gb-ram-256gb-ssd-myd82
","apple macbook pro 13 3 inches m1 chip 8gb ram 256gb ssd myd82
","Rs  240,000",https://images.priceoye.pk/apple-macbook-pro-13-inches-m1-chip-8gb-ram-256gb-ssd-myd82-pakistan-priceoye-yh61g-500x500.webp,0.61 x 11.97 x 8.36 inches ,3.0 pounds (1.4 kg),macOS,M1,13.3,2560 x 1600 ,No,Yes,256GB SSD,8 GB,N/A,Apple M1 Chip,8-core CPU with 4 performance cores and 4 efficiency cores 8-core GPU 16-core Neural Engine,Built-in 58.2-watt-hour lithium-polymer battery,Bluetooth 5.0 wireless technology,802.11ax Wi-Fi 6 wireless networking IEEE,4 Ports,Touch ID sensor,720p FaceTime HD camera
infinix,"https://priceoye.pk/laptops/infinix/infinix-inbook-x1-pro-14-inches-core-i7-8gb-ram-512gb-ssd
","infinix inbook x1 pro 14 inches core i7 8gb ram 512gb ssd
","Rs  137,500",https://images.priceoye.pk/infinix-inbook-x1-pro-14-inches-core-i7-8gb-ram-512gb-ssd-pakistan-priceoye-7ndfx-500x500.webp,323.5  x 219.5 x 16.3 mm,1.48 kg,Windows 10 Home,10th Generation,14 Inches,1920 x 1080,Yes,Yes,512 GB,16 GB,Intel UHD Graphics,Intel Core i7,1.3 GHz,n/a,Yes,Yes,3 Ports,Yes,720P HD camera
dell,"https://priceoye.pk/laptops/dell/dell-latitude-3520-15-6-inches-core-i5-8gb-ram-256gb-ssd
","dell latitude 3520 15 6 inches core i5 8gb ram 256gb ssd
","Rs  135,900",https://images.priceoye.pk/dell-pakistan-priceoye-xwor7-500x500.webp,18.06 x 361 x 240.9 mm (L x W x D),1.79 kg,DOS,11th Generation,15.6 inches,1366 x 768,No,Yes,256 GB SSD,08 GB,Intel UHD Graphics,Intel Core i5,2.4 GHz Turbo Boost 4.2 GHz,4 Cell 54Whr,Bluetooth 5.1,Yes,1 USB 3.2 Gen 2x2 Type-C port with DisplayPort alt mode/Power Delivery 2 USB 3.2 Gen 1 Type-A port 1 USB 2.0 port,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5402-14-inches-core-i7-8gb-ram-512gb-ssd
","dell inspiron 5402 14 inches core i7 8gb ram 512gb ssd
","Rs  176,000",https://images.priceoye.pk/dell-inspiron-5402-14-inches-core-i7-8gb-ram-512gb-ssd-pakistan-priceoye-ltxj6-500x500.webp,16.74  x 321.3 x 216.15 mm ,1.429 KG,Genuine Windows 10 Home,11th Generation,14 Inches,1920x1080,No,Yes,512GB SSD,8 GB,NVIDIA® GeForce® MX330 with 2GB GDDR5 graphics memory,Intel Core i7,2.8 Ghz Turbo Boost Up to 4.7 GHz (4 Cores - 8 Threads),"4-Cell Battery, 53WHr (Integrated)",Yes,802.11ac 2x2 WiFi,2 Ports,Yes,720p at 30 fps HD 
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11gen-core-i5-11300h-8gb-ram-512gb-ssd
","dell inspiron 5410 14 inches 11gen core i5 11300h 8gb ram 512gb ssd
","Rs  162,000",https://images.priceoye.pk/dell-inspiron-5410-14-inches-core-i5-11300h-processor-8gb-ram-512gb-ssd-pakistan-priceoye-tcnwi-500x500.webp,17.99 mm x 321.27 mm x  212.8 mm,1.461 kg,Windows 10 Home,11th Generation,14 Inches,1920 x 1080,No,Yes,512GB SSD,8 GB,Intel Iris Xe Graphics,Core i5 - 11300H,"(8MB Cache, up to 4.4GHz)","4-cell, 54 WHr polymer, integrated",Bluetooth 5.0,"Wi-Fi 6 AX201, 2x2, 2.40 GHz/5 GHz,",3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-latitude-3520-15-6-inches-core-i7-1165g7-8gram-512gb-ssd
","dell latitude 3520 15 6 inches core i7 1165g7 8gram 512gb ssd
","Rs  195,500",https://images.priceoye.pk/dell-latitude-3520-15-6-inches-core-i7-1165g7-8gram-512gb-ssd-pakistan-priceoye-0j4kg-500x500.webp,18.06 mm x 361 mm x 240.9 mm,1.79 kg,Windows 10 Home,11th Generation,15.6 Inches,1920 X 1080,No,Yes,512GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i7-1165G7,"4 Core, 12M Cache, base 2.8 GHz, up to 4.7 GHz",4 Cell 54Whr ,Bluetooth 5.1,Wi-Fi 6 AX201 2x2 ,4 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-3515-15-6-inches-amd-ryzen-7-3700u-8gb-512gb
","dell inspiron 3515 15 6 inches amd ryzen 7 3700u 8gb 512gb
","Rs  161,000",https://images.priceoye.pk/dell-inspiron-3515-15-6-inches-amd-ryzen-7-3700u-8gb-512gb-pakistan-priceoye-nr8o8-500x500.webp,17.50x 358.50x235.56 mm,1.85 kg (4.079 lb),Windows 11 HOME,AMD Ryzen7,15.6-inch,1920 x 1080 pixels,No,Yes,512 GB M.2 PCIE NVME SSD HDD,8GB (1x8GB),RADEON VEGA 10 GRAPHICS,AMD Ryzen™ 7 3700U Mobile Processor with Radeon,"Clock Speed 2.3Ghz, turbo 4Ghz","3-Cell Battery, 41WHr (Integrated)",Yes,802.11ac 1x1,3,N/A,Yes
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11th-gen-core-i5-1155g7-nvidia-ge-force-mx350-2gb-gddr5-graphics-8gb-ram-512gb
","dell inspiron 5410 14 inches 11th gen core i5 1155g7 nvidia ge force mx350 2gb gddr5 graphics 8gb ram 512gb
","Rs  210,000",https://images.priceoye.pk/dell-inspiron-5410-14-inches-11th-gen-core-i5-1155g7-nvidia-ge-force-mx350-2gb-gddr5-graphics-8gb-ram-512gb-pakistan-priceoye-0hfr7-500x500.webp,18.30x 321.5x 211.35 mm,1.65 kg (3.64 lb),Windows 11,11 gen,14 inches,1920 x 1080 pixels,YES,YES,512 GB M.2 PCIE NVME SSD HDD,8GB RAM,NVIDIA GE FORCE MX350 2GB GDDR5 GRAPHICS,Core i5 1155G7,4.5 GHz,Bluetooth 5.1,Yes,Yes,3 Ports,Yes,720p at 30 fps
dell,"https://priceoye.pk/laptops/dell/dell-gaming-g5-15-6-inches-11-gen-core-i7-11800h-nvidia-geforce-rtx-3050-ti-with-4gb-gddr6-16gb-512gb
","dell gaming g5 15 6 inches 11 gen core i7 11800h nvidia geforce rtx 3050 ti with 4gb gddr6 16gb 512gb
","Rs  330,500",https://images.priceoye.pk/dell-gaming-g5-15-6-inches-11-gen-core-i7-11800h-nvidia-geforce-rtx-3050-ti-with-4gb-gddr6-16gb-512gb-pakistan-priceoye-0n13x-500x500.webp,N/A,N/A,Windows 11 Home,11th Generation,15.6 Inches,(1920 x 1080) 120Hz 250 nits WVA Anti- Glare LED,No,Yes,‎512 GB SSD,16gb (8gbx2),4gb,4.6 GHz core_i7_family,4.6 GHz,N/A,Yes,Yes,3 Ports,N/A,Yes
dell,"https://priceoye.pk/laptops/dell/dell-gaming-g5-15-6-inches-ryzen-7-5800h-nvidia-geforce-rtx-3050-16gb-512gb
","dell gaming g5 15 6 inches ryzen 7 5800h nvidia geforce rtx 3050 16gb 512gb
","Rs  268,000",https://images.priceoye.pk/dell-gaming-g5-15-6-inches-ryzen-7-5800h-nvidia-geforce-rtx-3050-16gb-512gb-pakistan-priceoye-c3wr3-500x500.webp,‎20.2 x 13.5 x 2.9 inches,‎9.13 pounds,Windows 11 HOME,AMD Ryzen 7,15.6 Inches,1920 x 1080 pixels 250-nits Display,No,Yes,512 GB  SSD,16 gb (8gb x 2),4 GB,AMD RYZEN R7-5800H,‎3.2 GHz,N/A,Yes,Yes,3 Ports,N/A,Yes
hp,"https://priceoye.pk/laptops/hp/hp-chromebook-x360-14-inches-intel-pentium-celeron-8gb-ram-64gb-hdd
","hp chromebook x360 14 inches intel pentium celeron 8gb ram 64gb hdd
","Rs  54,500",https://images.priceoye.pk/hp-chromebook-x360-14-inches-intel-pentium-celeron-8gb-ram-64gb-hdd-pakistan-priceoye-u2su1-500x500.webp,32.54 x 22.68 x 1.6 cm,1.67 kg,Chrome OS,Intel Celeron,14 Inches,1920×1080,Yes,Yes,64 GB,8 GB,Intel® UHD Graphics 605,Intel Pentium Celeron N5000,"1.1 GHz base frequency, up to 2.7 GHz burst frequency, 4 cores",N/A,Bluetooth® 5 Combo,IEEE 802.11ac/a/b/g/n,3 Ports,No,HP Wide Vision HD Camera with integrated dual array digital microphone
hp,"https://priceoye.pk/laptops/hp/hp-chromebook-x360-14-inches-core-i5-8gb-ram-64gb-hdd
","hp chromebook x360 14 inches core i5 8gb ram 64gb hdd
","Rs  67,000",https://images.priceoye.pk/hp-chromebook-x360-14-inches-core-i5-8gb-ram-64gb-hdd-pakistan-priceoye-zyvnw-500x500.webp,32.15 x 20.6 x 1.79 cm,1.68 kg,ChromeOS,8th Generation,14 Inches,1920x1080,Yes,Yes,64 GB,8 GB,Intel HD Graphics 620 Integrated,Intel Core i5,8 GB DDR4-2133 SDRAM (1 x 8 GB),"3-cell, 60 Wh Li-ion",Bluetooth 4.2 combo,Intel 802.11b/g/n/ac (2x2) Wi-Fi,3 Ports,No,HP Wide Vision HD Camera with integrated dual array digital microphone
hp,"https://priceoye.pk/laptops/hp/hp-ef2127wm-15-6-inches-core-i7-amd-ryzen-5-8gb-256gb-ssd
","hp ef2127wm 15 6 inches core i7 amd ryzen 5 8gb 256gb ssd
","Rs  110,000",https://images.priceoye.pk/hp-ef2127wm-15-6-inches-amd-ryzen-5-8gb-256gb-ssd-pakistan-priceoye-17f7s-500x500.webp,35.85 x 24.2 x 1.79 cm,1.69 kg,Genuine Windows 10 Home,AMD,15.6 Inches,1920x1080,No,No,256GB SSD,8 GB,AMD Radeon  Graphics Integrated,AMD Ryzen 5 5500U,"2.1 GHz up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads)","3-cell, 41 Wh Li-ion",Bluetooth 4.2 combo,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,3 Ports,No,HP True Vision 720p HD camera with integrated dual array digital microphones
hp,"https://priceoye.pk/laptops/hp/hp-dq2055wm-14-inches-core-i3-4gb-ram-256gb-ssd
","hp dq2055wm 14 inches core i3 4gb ram 256gb ssd
","Rs  87,000",https://images.priceoye.pk/hp-dq2055wm-14-inches-core-i3-4gb-ram-256gb-ssd-pakistan-priceoye-dfvps-500x500.webp,32.4 x 22.5 x 1.79 cm,1.46 kg,Windows 10 Home in S mode,11th Generation,14 Inches,1920x1080,No,No,256GB SSD,4 GB,Intel® UHD Graphics Integrated,Intel Core i3,1.7 GHz Up to 4.1 GHz (2 Cores - 4 Threads),N/A,Bluetooth® 4.2 combo,Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi,3 Ports,Yes,HP True Vision 720p HD camera 
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-l3-15-6-inches-core-i5-04gb-ram-01tb-hdd
","lenovo ideapad l3 15 6 inches core i5 04gb ram 01tb hdd
","Rs  105,999",https://images.priceoye.pk/lenovo-ideapad-l3-15-6-inches-core-i5-04gb-01tb-hdd-pakistan-priceoye-lwxb7-500x500.webp,363 x 254.6 x 22.9 mm,2.2 kg (4.8 lbs),DOS,11th Generation,15.6 Inches,1366 x 768,No,No,01TB HDD,4 GB,Integrated Intel Iris Xe Graphics functions as UHD Graphics,Core i5-1135G7,1.6 GHz Turbo Boost 4.2 GHz ,Integrated 36Wh,Bluetooth® 5.0,2 x 2 WiFi 5 (802.11 ac),3 Ports,No,0.3M Camera with Single Mic with Shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-3-15-6-inches-core-i5-12gb-ram-256gb-ssd
","lenovo ideapad 3 15 6 inches core i5 12gb ram 256gb ssd
","Rs  116,499",https://images.priceoye.pk/lenovo-ideapad-3-15-6-inches-core-i5-12gb-256gb-ssd-pakistan-priceoye-97mjn-500x500.webp,N/A,3.64 lbs,Genuine Windows 11 Home,11th Generation,15.6 Inches,1920 x 1080 ,Yes,Yes,256GB SSD,12 GB,Intel® Iris® Xᵉ Graphics Integrated,11th Generation Intel Core i5 1135G7 QuadCore,2.4 GHz Turbo Boost 4.2 GHz (4 Cores - 8 Threads),3-cell 45Wh,Bluetooth 5.1,Intel® Wi-Fi 6 (2x2/160) Gig,3 Ports,Yes,720p Webcam with Privacy Shutter
