brand,url,name,price,image,dimensions,weight,os,generation,screenSize,resolution,touchScreen,backlitKeyboard,internalMemory,ram,graphicsCard,processorType,processorSpeed,battery,BT,wifi,USB,camera,fingerPrintReader
dell,"https://priceoye.pk/laptops/dell/dell-latitude-5400-14-inces-core-i7-8gb-ram-256gb-ssd
","dell latitude 5400 14 inces core i7 8gb ram 256gb ssd
","Rs  112,000",https://images.priceoye.pk/dell-latitude-5400-14-inces-core-i7-8gb-ram-256gb-ssd-pakistan-priceoye-ftwuz-500x500.webp,46.74 x 29.46 x 7.62 cm,3.26 lb (1.48 kg),DOS,08th Generation,14 Inches,1920x1080,No,Yes,256GB SSD,8 GB,Integrated Intel® UHD 620 Graphics,Intel Core i7,1.9 GHz Turbo Boost 4.8 (8 MB Cache),N/A,Yes,INTEL DUAL BAND AC 9560 WIFI,3 Ports,No,Yes
dell,"https://priceoye.pk/laptops/dell/dell-xps-9310-13-4-inches-core-i7-8gb-ram-256gb-ssd
","dell xps 9310 13 4 inches core i7 8gb ram 256gb ssd
","Rs  237,000",https://images.priceoye.pk/dell-xps-9310-13-4-inches-core-i7-8gb-ram-256gb-ssd-pakistan-priceoye-q2b3g-500x500.webp,14.8 x 295.7 x 198.7 mm,1.2 kg (2.64 lb),Genuine Windows 10 Home,11th Generation,13.4 Inches,1920x1200,Yes,Yes,256GB SSD,8 GB,Intel® Iris® Xe Graphics,Intel Core i7,2.8 Ghz Turbo Boost Up to 4.7 GHz (4 Cores - 8 Threads),"4-cell, 52 WHr smart lithium-ion",Bluetooth 5.1,Yes,4 Ports,No,Widescreen HD (720p) 2.25mm webcam
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5402-14-inches-core-i5-8gb-ram-512gb-ssd
","dell inspiron 5402 14 inches core i5 8gb ram 512gb ssd
","Rs  157,000",https://images.priceoye.pk/dell-inspiron-5402-14-inches-core-i5-8gb-ram-512gb-ssd-pakistan-priceoye-vqd71-500x500.webp,16.74 x 321.3  x 216.15 mm,1.429 KG,Genuine Windows 10 Home,11th Generation,14 Inches,1920x1080,No,Yes,512GB SSD,8 GB ,NVIDIA® GeForce® MX330 with 2GB GDDR5 graphics memory,Intel Core i5,2.4 GHz Turbo Boost 4.2 GHz (4 Cores - 8 Threads),"4-Cell Battery, 53WHr (Integrated)",Yes,802.11ac 2x2 WiFi,2 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-2-in-1-14-inches-core-i7-8gb-ram-512gb-ssd
","dell inspiron 2 in 1 14 inches core i7 8gb ram 512gb ssd
","Rs  225,000",https://images.priceoye.pk/dell-inspiron-2-in-1-14-inches-core-i7-8gb-ram-512gb-ssd-pakistan-priceoye-42mav-500x500.webp,16.32 mm x 321.50 mm x 211.35 mm,1.50 kg ,Windows 10 ,11th Generation,14 Inches,1920 X 1080,Yes,Yes,512GB SSD,16 GB,NVIDIA GE FORCE MX350 2GB GDDR5,Intel Core i7,up to 4.7 GHz,3 cell 41 WHr battery,Bluetooth 5.1,Wi-Fi 6 2x2 (Gig+),3 Ports,Yes,720p at 30 fps
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5510-15-6-inches-11-gen-core-i5-11320h-8gb-ram-512gb-ssd
","dell inspiron 5510 15 6 inches 11 gen core i5 11320h 8gb ram 512gb ssd
","Rs  172,999",https://images.priceoye.pk/dell-inspiron-5510-15-6-inches-core-i5-11320h-8gb-ram-512gb-ssd-pakistan-priceoye-v0wni-500x500.webp,14.6 mm x 356.06 mm x  228.9 mm,1.633 kg,Windows 10 Home,11th Generation,15.6 Inches,1920 x 1080,No,Yes,512GB SSD,8 GB,Intel Iris Xe Graphics,Core i5 -11320H,"8MB Cache, up to 4.5GHz","4-Cell Battery, 54WHr (Integrated)",Bluetooth 5.0,Wi-Fi 6 2x2 (Gig+),3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5510-15-6-inches-11-gen-core-i7-11370h-8gb-ram-512gb-ssd
","dell inspiron 5510 15 6 inches 11 gen core i7 11370h 8gb ram 512gb ssd
","Rs  186,000",https://images.priceoye.pk/dell-inspiron-15-6-inches-core-i7-11370h-processor-8gb-ram-512gb-ssd-pakistan-priceoye-le8m9-500x500.webp,14.59 mm x 356.06 mm x 228.90 mm,1.75 kg,Windows 10 Home,11th Generation,15.6 Inches,1920 X 1080,No,Yes,512GB SSD,8 GB,INTEL IRIS Xe GRAPHICS,Core i5 -  11370H,3.30 GHz to 4.80 GHz,4-cell polymer (54 Wh),Bluetooth 5.0,WiFi 802.11a/b/g,4 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11gen-core-i5-11300h-8gb-ram-256gb-ssd
","dell inspiron 5410 14 inches 11gen core i5 11300h 8gb ram 256gb ssd
","Rs  156,000",https://images.priceoye.pk/dell-inspiron-5410-14-inches-core-i5-11300h-processor-8gb-ram-256gb-ssd-pakistan-priceoye-09j6q-500x500.webp,17.99 mm x 321.27 mm x  212.8 mm,1.461 kg,Windows 10 Home,11th Generation,14 Inches,1920 x 1080,No,Yes,256GB SSD,8 GB,Intel Iris Xe Graphics,Core i5 - 11300H,"(8MB Cache, up to 4.4GHz)","4-cell, 54 WHr polymer, integrated",Bluetooth 5.0,"Wi-Fi 6 AX201, 2x2, 2.40 GHz/5 GHz,",3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-xps-9310-13-4-inches-core-i5-1135g7-8gb-ram-512gb-ssd
","dell xps 9310 13 4 inches core i5 1135g7 8gb ram 512gb ssd
","Rs  304,000",https://images.priceoye.pk/dell-xps-9310-13-4-inches-core-i5-1135g7-8gb-ram-512gb-ssd-pakistan-priceoye-wv1lj-500x500.webp,14.8 mm x 295.7 mm x 198.7 mm,1.2 kg,Windows 10 Home,11th Generation,13.4 Inches,1920 X 1200,No,Yes,512GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i5 -1135G7,"8MB Cache, up to 4.2 GHz","4-Cell Battery, 52 Whr (Integrated)   ",Bluetooth 5.1,Wi-Fi 6 AX1650 (2 x 2) ,3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5310-15-6-inches-core-i3-1115g4-4gb-ram-1tb-hdd
","dell inspiron 5310 15 6 inches core i3 1115g4 4gb ram 1tb hdd
","Rs  174,000",https://images.priceoye.pk/dell-inspiron-5310-15-6-inches-core-i3-1115g4-4gb-ram-1tb-hdd-pakistan-priceoye-67kh9-500x500.webp,15.9 x 296.78 x 210 mm,2.78 lb,Windows 10 & MS office 2019 home and student,11th Generation,15.6 Inches,1920 x 1080,No,Yes,512GB SSD,8 GB,Intel Iris® Xe Graphics,Intel Core i5 11300H,3.1 GHz Turbo Boost 4.4 GHz (8 MB Cache),N/A,Bluetooth 5.1,Intel(R) Wi-Fi 6 2x2 (Gig+),3 Ports,Yes,30 fps camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11th-gen-core-i5-intel-iris-xe-graphics-8gb-ram-512gb
","dell inspiron 5410 14 inches 11th gen core i5 intel iris xe graphics 8gb ram 512gb
","Rs  205,456",https://images.priceoye.pk/dell-inspiron-14-5410-2-in-1-14-inch-11th-gen-core-i5-8gb-4gbx2-ram-512-gb-m-2-pcie-nvme-ssd-nvidia-ge-force-mx350-2gb-gddr5-graphics-pakistan-priceoye-kgbgg-500x500.webp,18.30x 321.5x 211.35 mm,1.65 kg (3.64 lb),Windows 11,11th Generation,14,1920x1080,Yes,Yes,512 GB M.2 PCIE NVME SSD HDD,8GB (4GBx2),Intel® Iris® Xᵉ Graphics Integrated,Core i5 1155G7,4.5 GHz,"41 Wh, 3-cell polymer",Bluetooth 5.1,Yes,3 Ports,Yes,720p at 30 fps
