brand,url,name,price,image,releaseDate,simSupport,dimensions,weight,os,screenSize,resolution,screenType,screenProtection,internalMemory,ram,cardSlot,processor,gpu,battery,frontCamera,frontFlash,frontVideoRec,backCamera,backFlash,backVideRec,bluetooth,3G,4G\LTE,5G,radio,wifi,nfc
itel,"https://priceoye.pk/mobiles/itel/itel-a23-pro
","itel a23 pro
","Rs  13,299",https://images.priceoye.pk/itel-a23-pro-pakistan-priceoye-js8r7-500x500.webp,2001-12-20,"Dual SIM (Nano-SIM, dual stand-by)",N/A,N/A,Android 10 (Go),5.0 inches,854 x 480 pixels,"FWVGA Display Touchscreen, Multitouch",No,8 GB,1 GB,Yes,Unisoc SC9832e,ARM Mali-T820,2400mAh Li-ion Removable,0.3 MP,No,720p@30fps,2 MP,Yes,720p@30fps,Yes,Yes,No,No,FM radio,Yes,No
gfive,"https://priceoye.pk/mobiles/gfive/gfive-champ
","gfive champ
","Rs  3,599",https://images.priceoye.pk/gfive-champ-pakistan-priceoye-kd1bu-500x500.webp,2023-06-02,"Dual Sim, Dual Standby",N/A,N/A,Proprietary OS,2.4 Inches,240 x 320 Pixels,TFT Screen,N/A,32 MB,32 MB,Yes,N/A,N/A,1800 Mah,No,No,No,0.08 MP,No,Yes,Yes,No,No,No,Yes,No,No
samsung,"https://priceoye.pk/mobiles/samsung/samsung-galaxy-s24
","samsung galaxy s24
","Rs  299,999",https://images.priceoye.pk/samsung-galaxy-s24-pakistan-priceoye-k1dpa-500x500.webp,2024-01-19,Dual Sim (SIM 1 + SIM 2 / SIM 1 + eSIM / Dual eSIM),147.0 x 70.6 x 7.6 mm,167g,Android,6.2 Inches,2340 x 1080 (FHD+),Dynamic AMOLED 2X,N/A,256 GB,8 GB,N/A,Deca-Core,N/A,4000 mAh,12 MP,N/A,Yes,50 MP + 10 MP + 12 MP,Yes,UHD 8K (7680 x 4320) @30fps,Yes,Yes,Yes,Yes,N/A,Yes,Yes
infinix,"https://priceoye.pk/mobiles/infinix/infinix-hot-11-play
","infinix hot 11 play
","Rs  28,699",https://images.priceoye.pk/infinix-hot-11-play-pakistan-priceoye-yars2-500x500.webp,2021-11-16,"Dual Sim, Dual Standby (Nano-SIM)",171.8 x 78 x 8.9 mm,201 g,Android 11 OS,6.82 Inches,720 x 1640 Pixels,IPS LCD,N/A,64 GB,4 GB,"microSD Card, (supports up to 512GB)",Helio G35 Gaming Processor,PowerVR GE8320,"Li-Po 6000 mAh, non-removable",8 MP,Yes,1080p@30fps,13 MP + AI Lens,Yes,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,No
apple,"https://priceoye.pk/mobiles/apple/apple-iphone-14-pro
","apple iphone 14 pro
","Rs  505,999",https://images.priceoye.pk/iphone-14-pro-pakistan-priceoye-sibh5-500x500.webp,2022-09-29,Nano-SIM and eSIM,147.5 x 71.5 x 7.9 mm,206 g,iOS 16,6.1 inches,1179 x 2556 pixels,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",Ceramic Shield glass,128/256/512/1TB,6 GB,No,Apple A16 Bionic (4 nm),Apple GPU (5-core graphics),Li-Ion 3200 mAh,12 MP,No,"4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS",48 MP + 12 MP + 12 MP,Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@24/30fps), stereo sound rec.",Yes,Yes,Yes,Yes,No,Yes,Yes
apple,"https://priceoye.pk/mobiles/apple/apple-iphone-15-pro
","apple iphone 15 pro
","Rs  472,999",https://images.priceoye.pk/apple-iphone-15-pro-pakistan-priceoye-cu3ht-500x500.webp,2023-09-12,Nano-SIM and eSIM,146.6 x 70.6 x 8.3 mm,187 g,iOS 17,6.1 Inches,1179 x 2556 Pixels,LTPO Super Retina XDR OLED,Ceramic Shield glass,256/ 512 GB/ 1TB,8 GB,No,Apple A17 Pro Hexa-core,Apple GPU (6-core graphics),3274 mAh,12 MP,No,"4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS",48 MP + 12 MP + 12 MP,Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@24/30fps), 3D (spatial) video, stereo sound rec.",Yes,Yes,Yes,Yes,No,Yes,Yes
realme,"https://priceoye.pk/mobiles/realme/realme-c21
","realme c21
","Rs  33,499",https://images.priceoye.pk/realme-c21-pakistan-priceoye-ji54r-500x500.webp,2021-05-01,"Dual SIM (Nano-SIM, dual stand-by)",165.2 x 76.4 x 8.9 mm,190 g,"Android 10, Realme UI",6.5 inches,720 x 1600 pixels,"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch",No,64 GB,4 GB,Yes,MediaTek Helio G35,IMG GE8320,"Li-Po 5000 mAh, non-removable",5 MP,No,1080p@30fps,13 MP + 2 MP + 2 MP,Yes,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
tecno,"https://priceoye.pk/mobiles/tecno/tecno-phantom-v-flip
","tecno phantom v flip
","Rs  184,999",https://images.priceoye.pk/tecno-phantom-v-flip-pakistan-priceoye-djkct-500x500.webp,2023-09-22,Nano-SIM,Unfolded: 171.7 x 74.1 x 7 mm Folded: 88.8 x 74.1 x 15 mm,194 g,"Android 13, HIOS 13.5","Main Screen: 6.9 Inches, Cover Screen 1.32 Inches","Main Screen: 2640 x 1080 Pixels, Cover Screen 466x466 Pixels","Foldable LTPO AMOLED, 120Hz, 1000 nits (peak)","Main Screen: Schott UTG, Cover Screen: Corning Gorilla Glass Victus",256 GB,8GB,No,Mediatek Dimensity 8050,Mali-G77 MC9,4000 mAh,32 MP,Yes,"1440p@30fps, 1080p@30/60fps",64 MP + 13 MP,Yes,"4K@30fps, 1080p@30/60fps",Yes,Yes,Yes,Yes,Unspecified,Yes,Yes
itel,"https://priceoye.pk/mobiles/itel/itel-magic-4-it6360
","itel magic 4 it6360
","Rs  6,199",https://images.priceoye.pk/itel-magic-4-it6360-pakistan-priceoye-6n1ud-500x500.webp,2023-12-13,Dual Sim,N/A,N/A,Proprietary OS,2.8 Inches,N/A,TFT LCD,N/A,Standard,Standard,up to 32 GB,N/A,N/A,2000 mAh,No,No,No,Digital Camera,Yes,Yes,Yes,N/A,No,No,Yes,No,No
apple,"https://priceoye.pk/mobiles/apple/apple-iphone-14-plus
","apple iphone 14 plus
","Rs  499,999",https://images.priceoye.pk/apple-iphone-14-plus-pakistan-priceoye-gmtze-500x500.webp,2022-09-30,Dual SIM (Nano-SIM and eSIM),160.8 x 78.1 x 7.8 mm,203 g,iOS 16,6.7 inches,1284 x 2778 pixels,"Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)",Ceramic Shield glass,128/256/512 GB,6 GB,No,Apple A15 Bionic (5 nm),Apple GPU (5-core graphics),"Li-Ion 4323 mAh, non-removable",12 MP + SL 3D,No,"4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS",12 MP + 12 MP,Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), Cinematic mode (4K@30fps), stereo sound rec.",Yes,Yes,Yes,Yes,No,Yes,Yes
