brand,url,name,price,image,simSupport,dimensions,strapMaterial,waterResistance,weight,os,speakers,mode,camera,screenSize,resulotion,screenType,ram,rom,wifi,gps,nfc,batteryCapacity,batteryLife
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-6-bluetooth-44mm
","samsung galaxy watch 6 bluetooth 44mm
","Rs  50,999",https://images.priceoye.pk/samsung-galaxy-watch-6-bluetooth-44mm-pakistan-priceoye-fq3kr-500x500.webp,N/A,42.8 x 44.4 x 9.0 mm,Silicon,YES,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.5,480 x 480 pixels,Super AMOLED,N/A,N/A,YES,N/A,N/A,425 mAH,3-4 days
dany,"https://priceoye.pk/smart-watches/dany/dany-rex-fit-smart-watch
","dany rex fit smart watch
","Rs  6,899",https://images.priceoye.pk/dany-rex-fit-smart-watch-pakistan-priceoye-a5tz2-500x500.webp,N/A,N/A,Magnetic,IP67,N/A,"iOS 10.0+, Android 4.4+",Yes,Sports Modes,N/A,1.9 Inches,240*283 Pixels,HD Display,N/A,N/A,N/A,Yes,Yes,280mAh,Upto 6 days
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-5-bluetooth-40mm-r-900
","samsung galaxy watch 5 bluetooth 40mm r 900
","Rs  38,999",https://images.priceoye.pk/samsung-galaxy-watch-5-bluetooth-40mm-r-900-pakistan-priceoye-id4c0-500x500.webp,N/A,40.4 x 39.3 x 9.8 mm,Silicone,50m water resistant (IP68),28.7 g (1.02 oz),"Android Wear OS 3.5, One UI Watch 4.5",Yes,90 Sport Modes,N/A,1.2 inches,396 x 396 pixels (~330 ppi density),Super AMOLED,1.5GB,16GB,"Wi-Fi 802.11 a/b/g/n, dual-band","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,"Li-Ion 284 mAh, non-removable",40 hours
zero,"https://priceoye.pk/smart-watches/zero/zero-drift-smart-watch
","zero drift smart watch
","Rs  10,299",https://images.priceoye.pk/videos/zero-drift-smart-watch-pakistan-priceoye-84n28.mp4,N/A,N/A,Silicon,IP67,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.91 inches,N/A,HD display,N/A,N/A,N/A,N/A,No,N/A,2-3 days
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-6-classic-43mm
","samsung galaxy watch 6 classic 43mm
","Rs  65,499",https://images.priceoye.pk/samsung-galaxy-watch-6-classic-43mm-pakistan-priceoye-nyi5c-500x500.webp,N/A,N/A,Silicon,50m water resistant (IP68),N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.5 inches,480 x 480 pixels,Super AMOLED,N/A,N/A,N/A,N/A,No,Li-Ion 425 mAh,2-3 days
dany,"https://priceoye.pk/smart-watches/dany/dany-loop-pro-smart-watch
","dany loop pro smart watch
","Rs  6,899",https://images.priceoye.pk/dany-loop-pro-smart-watch-pakistan-priceoye-txvdy-500x500.webp,N/A,N/A,Silicone,IP67,N/A,"Android 5.0 and Above, iOS 10.0+ and Above",Yes,100+ Sports Modes,N/A,2.01 Inches,360*360 Pixels,TFT HD Display,N/A,N/A,N/A,N/A,N/A,300mAh,5-7 Days
apple,"https://priceoye.pk/smart-watches/apple/apple-watch-series-9-45mm
","apple watch series 9 45mm
","Rs  115,999",https://images.priceoye.pk/apple-watch-series-9-45mm-pakistan-priceoye-lkimb-500x500.webp,N/A,45mm x 38mmx 10.7mm,Aluminum,IP6X19 / 50M,39.0g,watchOS 9.0,Yes,Multiple sports modes,N/A,1.7 inches,"430 x 352 pixels, 329 PPI",OLED,N/A,64GB capacity,Wi-Fi 4 (802.11n),Yes,N/A,N/A,Up to 18 hours
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-gt-4
","huawei watch gt 4
","Rs  57,299",https://images.priceoye.pk/huawei-watch-gt-4-pakistan-priceoye-hclih-500x500.webp,N/A,46 mm × 46 mm × 10.9 mm,Silicon,5 ATM water-resistant,48 g,Proprietary OS,Yes,Multiple sports modes,N/A,1.43 inches,"466 × 466 pixels, PPI 326",AMOLED,N/A,N/A,N/A,N/A,No,N/A,2-3 days
ronin,"https://priceoye.pk/smart-watches/ronin/ronin-r-07-smart-watch
","ronin r 07 smart watch
","Rs  9,995",https://images.priceoye.pk/ronin-r-07-smart-watch-pakistan-priceoye-q91rn-500x500.webp,N/A,N/A,Silicon,IP68,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.96,(410x502),Full-Touch,N/A,N/A,N/A,N/A,No,300 mAH,2-3 days
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-5-bluetooth-44mm-r-910
","samsung galaxy watch 5 bluetooth 44mm r 910
","Rs  44,999",https://images.priceoye.pk/samsung-galaxy-watch-5-bluetooth-44mm-r-910-pakistan-priceoye-k4mes-500x500.webp,N/A,44.4 x 43.3 x 9.8 mm (1.75 x 1.70 x 0.39 in),Silicone,50m water resistant (IP68),33.5 g (1.20 oz),"Android Wear OS 3.5, One UI Watch 4.5",Yes,90 Sport Modes,N/A,1.4 inches,450 x 450 pixels (~321 ppi density),Super AMOLED,1.5GB,16GB,"Wi-Fi 802.11 a/b/g/n, dual-band","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,"Li-Ion 410 mAh, non-removable",50 hours ( standby ) 1-2 days on regular use
