brand,url,name,price,image,simSupport,dimensions,strapMaterial,waterResistance,weight,os,speakers,mode,camera,screenSize,resulotion,screenType,ram,rom,wifi,gps,nfc,batteryCapacity,batteryLife
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-fit-new
","huawei watch fit new
","Rs  17,499",https://images.priceoye.pk/huawei-watch-fit-new-pakistan-priceoye-5zjal-500x500.webp,No,46 mm x 30 mm x 10.7 mm,Silicone,Yes,21 g,Proprietary OS,No,97 Workout Modes,No,1.64 inches,456 x 280 pixels,AMOLED,N/A,N/A,No,Yes,No,null,10 days
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-band-7
","huawei band 7
","Rs  12,699",https://images.priceoye.pk/huawei-band-7-pakistan-priceoye-d8si8-500x500.webp,N/A,44.35 x 26 x 9.99 mm,Silicone,5 ATM water-resistant,16 g,Proprietary OS,N/A,96 Workout Modes,No,1.47 inch,194 x 368 pixels,AMOLED,N/A,N/A,No,No,No,180 mAh,upto 14 days
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-gt-runner
","huawei watch gt runner
","Rs  47,499",https://images.priceoye.pk/huawei-watch-gt-runner-pakistan-priceoye-k3cld-500x500.webp,No,46.4 x 46.4 x 11 mm,Silicon,5 ATM,38.5 g,Proprietary OS,Yes,100+ Workout Modes,No,1.43 inch,466 x 466 HD,AMOLED,N/A,4 GB,No,Yes,Yes,455 mAh,upto 7 days
realme,"https://priceoye.pk/smart-watches/realme/realme-techlife-dizo-watch-2-dw-2118
","realme techlife dizo watch 2 dw 2118
","Rs  6,499",https://images.priceoye.pk/realme-techlife-dizo-watch-2-pakistan-priceoye-swntr-500x500.webp,N/A,20 mm,Silicone,IP68,52.5 g,N/A,No,15 Sports Modes,N/A,4.3cm (1.69,240 x 280 Pixels,LCD,N/A,N/A,No,No,No,315 mAh,About 10 Days
zero,"https://priceoye.pk/smart-watches/zero/zero-orbit-hd-bright-display
","zero orbit hd bright display
","Rs  7,399",https://images.priceoye.pk/zero-orbit-hd-bright-display-pakistan-priceoye-przff-500x500.webp,N/A,N/A,Silicone,IP67,55g,"Android 5.0 & Above, iOS 9.0 & Above",Yes,Sports Modes,N/A,1.0 Inches,360*360 Pixels,HD Display,N/A,N/A,N/A,N/A,N/A,240mAh,5-7 Days
zero,"https://priceoye.pk/smart-watches/zero/zero-luna-smart-watch
","zero luna smart watch
","Rs  7,999",https://images.priceoye.pk/zero-luna-smart-watch-pakistan-priceoye-j5546-500x500.webp,N/A,N/A,Anti Static Silicone Strap,IP67,Approx 31.7g,"Android 5.0 and Above, iOS 9.0 and Above",Yes,N/A,N/A,1.39 Inches,240*240 Pixels,TFT Display,N/A,N/A,N/A,N/A,N/A,220mAh,7 Days Typical Usage Time
zero,"https://priceoye.pk/smart-watches/zero/zero-matrix-amoled-smart-watch
","zero matrix amoled smart watch
","Rs  14,999",https://images.priceoye.pk/zero-matrix-amoled-smart-watch-pakistan-priceoye-5583p-500x500.webp,N/A,N/A,Steel,IP67,Approx 30g,Proprietary OS,Yes,Multiple sports modes,N/A,1.43 inch,466*466,AMOLED,N/A,N/A,N/A,N/A,No,N/A,2-3 days
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-4-classic-bluetooth-42mm-r880
","samsung galaxy watch 4 classic bluetooth 42mm r880
","Rs  54,199",https://images.priceoye.pk/samsung-galaxy-watch-4-classic-42mm-r880-pakistan-priceoye-wnwf0-500x500.webp,No,41.5 x 41.5 x 11.2 mm,Fluoroelastomer material,No,47 g,Android Wear OS,Yes,"Accelerometer, Barometer, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Optical Heart Rate Sensor, Electrical heart sensor, Bioelectrical Impedance Analysis Sensor, Hall sensor",No,1.2 inches,396 x 396 pixels,Super AMOLED,1.5 GB,16 GB,Yes,Yes,Yes,247 mAh,Up to 40 Hours
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-3-pro
","huawei watch 3 pro
","Rs  74,999",https://images.priceoye.pk/huawei-watch-3-pro-pakistan-priceoye-r2blv-500x500.webp,No,48 mm x 49.6 mm x 14 mm,Titanium,5 ATM,63 g,Proprietary OS,Yes,100+ sports mode,No,1.43 inches,466 x 466 pixels,AMOLED,2 GB,16 GB,Only 2.4 GHz is supported,Yes,Yes,null,21 Days
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-gt-2-pro
","huawei watch gt 2 pro
","Rs  38,499",https://images.priceoye.pk/huawei-watch-gt-2-pro-pakistan-priceoye-su6vf-500x500.webp,No,46.7 mm x 46.7 mm x 11.4 mm,"Black Fluoroelastomer Strap , Gray Brown Leather Strap",5 ATM water-resistant,52 g,Proprietary OS,Yes,100 Plus Modes,No,1.39 Inches,454 x 454,AMOLED,N/A,N/A,No,Yes,No,455 mAh,14 days
soundpeats,"https://priceoye.pk/smart-watches/soundpeats/soundpeats-watch-2-smartwatch
","soundpeats watch 2 smartwatch
","Rs  6,899",https://images.priceoye.pk/soundpeats-watch-2-smartwatch-pakistan-priceoye-k3qz7-500x500.webp,N/A,50.0*45.0*14.0mm,Silicone,IP68,38g,Proprietary OS,Yes,12 Sports Modes,N/A,1.28 Inches,240*240 Pixels,N/A,N/A,N/A,N/A,N/A,N/A,220mAh,7 Days Normal Use
zero,"https://priceoye.pk/smart-watches/zero/zero-buzz-max-smart-watch
","zero buzz max smart watch
","Rs  7,599",https://images.priceoye.pk/zero-buzz-max-smart-watch-pakistan-priceoye-rexzk-500x500.webp,N/A,N/A,Silicone,IP67,53g,"iOS 8.0+, Android 4.4+",Yes,100+ Sport Modes,N/A,1.91 Inches,240*280 Pixels,HD Screen,N/A,N/A,N/A,Yes,N/A,300mAh,"7 Days Typical Usage Time, 30 Days Standby Time"
zero,"https://priceoye.pk/smart-watches/zero/zero-legend-smart-watch
","zero legend smart watch
","Rs  8,499",https://images.priceoye.pk/zero-legend-smart-watch-pakistan-priceoye-jzvf9-500x500.webp,NO,null,Silicone 245mm,Ip67,NA,iOS 10+ &/or Android 4.4+,yes,NA,NA,1.91,240*283,Full Touch,NA,NA,NA,NA,NA,280Mah,NA
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-4-bluetooth-44mm-r870
","samsung galaxy watch 4 bluetooth 44mm r870
","Rs  36,499",https://images.priceoye.pk/galaxy-watch-4-pakistan-priceoye-znda2-500x500.webp,No,44.4 x 43.3 x 9.8 mm,Silicone,Yes,30.3 g,Android Wear OS,Yes,"Accelerometer, Barometer, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Optical Heart Rate Sensor, Electrical heart sensor, Bioelectrical Impedance Analysis Sensor",No,1.4 inches,450 x 450,Super AMOLED,1.5 GB,16 GB,802.11 a/b/g/n 2.4+5GHz,Yes,Yes,361 mAh,upto 40 hours
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-gt-2
","huawei watch gt 2
","Rs  28,499",https://images.priceoye.pk/huawei-watch-gt-2-pakistan-priceoye-63bbu-500x500.webp,No,45.9 x 45.9 x 10.7 mm,Metal + Plastic + Leather,5 ATM,41 g,Proprietary OS,Yes,Multiple Sport Modes,No,1.39 inches,454 x 454 Pixel,AMOLED,32MB,4GB,No,Yes,No,455 mAh,14 days
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-gt3-46mm
","huawei watch gt3 46mm
","Rs  49,999",https://images.priceoye.pk/huawei-watch-gt-3-46mm-pakistan-priceoye-0ldme-500x500.webp,No,45.9 mm x 45.9 mm x 11 mm,Fluoroelastomer,5 ATM,42.6 g,Proprietary OS,Yes,Multiple Sport Modes,No,1.43 Inches,466 x 466 pixels,AMOLED,32 MB,4 GB,No,Yes,No,Li-Po 455 mAh,14 days
oppo,"https://priceoye.pk/smart-watches/oppo/oppo-band-style
","oppo band style
","Rs  5,299",https://images.priceoye.pk/oppo-band-style-pakistan-priceoye-x0htq-500x500.webp,No,40.4 x 17.6 x 11.45mm,fluorrubber band,Yes,10.3g,"Android 6.0, iOS 12.0 or higher",No,11 sports mode,No,1.1 inches,126 x 294,AMOLED Touchscreen,N/A,16MB,No,No,No,100mAh,12 days
realme,"https://priceoye.pk/smart-watches/realme/realme-watch-2
","realme watch 2
","Rs  6,600",https://images.priceoye.pk/realme-watch-2-pakistan-priceoye-01m7u-500x500.webp,No,257.6 x 35.7 x 12.2 mm,Silicone,IP68,38 g,Proprietary OS,No,90 Sports Modes,No,1.4 inches,320 x 320 pixels,IPS LCD,N/A,N/A,No,No,No,Li-Ion 315 mAh,12 Days
soundpeats,"https://priceoye.pk/smart-watches/soundpeats/soundpeats-watch-pro-1
","soundpeats watch pro 1
","Rs  6,399",https://images.priceoye.pk/soundpeats-watch-pro-1-pakistan-priceoye-g5tjl-500x500.webp,No,50.0 x 45.0 x 14.0 mm,Fluororubber,IP68 Waterproof,36g,Proprietary OS,N/A,Multiple Sport Modes,No,1.28 Inches,240 x 240,N/A,N/A,N/A,No,N/A,No,285mAH,10 days
dany,"https://priceoye.pk/smart-watches/dany/dany-callfit-5-smart-watch
","dany callfit 5 smart watch
","Rs  8,499",https://images.priceoye.pk/dany-callfit-5-smart-watch-pakistan-priceoye-ar7bz-500x500.webp,N/A,null,Silicon,IP67,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,upto 7 days
dany,"https://priceoye.pk/smart-watches/dany/dany-alpha-fit-smart-watch
","dany alpha fit smart watch
","Rs  5,999",https://images.priceoye.pk/dany-alpha-fit-smart-watch-pakistan-priceoye-1or9q-500x500.webp,N/A,N/A,Silicone,IP68,N/A,Proprietary OS,Yes,100+ Sport Modes,N/A,1.85 Inches,N/A,Large HD Touch Display,N/A,N/A,N/A,N/A,N/A,N/A,5-7 Days
itel,"https://priceoye.pk/smart-watches/itel/itel-smart-fitband-ifb-31
","itel smart fitband ifb 31
","Rs  3,899",https://images.priceoye.pk/itel-smart-fitband-ifb-31-pakistan-priceoye-ojf4t-500x500.webp,N/A,N/A,Silicon,IP67,N/A,Proprietary OS,Yes,N/A,N/A,2.4 Inches,`126 x 294,AMOLED,N/A,N/A,N/A,N/A,No,85mAh,upto 7 days
zero,"https://priceoye.pk/smart-watches/zero/zero-buzz-max-se-smart-watch
","zero buzz max se smart watch
","Rs  7,899",https://images.priceoye.pk/zero-buzz-max-se-smart-watch-pakistan-priceoye-v3d07-500x500.webp,N/A,N/A,Silicone,IP67,53g,"iOS 8.0+, Android 4.4+",Yes,100+ Sports Modes,N/A,1.91 Inches,240*280 Pixels,Curved Glass HD Display,N/A,N/A,N/A,N/A,N/A,300mAh,7 Days
zero,"https://priceoye.pk/smart-watches/zero/zero-revoltt-smart-watch
","zero revoltt smart watch
","Rs  12,999",https://images.priceoye.pk/zero-revoltt-smart-watch-pakistan-priceoye-j9fa8-500x500.webp,N/A,N/A,Steel,YES,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.43”,360*360,IPS,N/A,N/A,N/A,N/A,No,400mAh,2-3 days
zero,"https://priceoye.pk/smart-watches/zero/zero-ninja-smart-watch
","zero ninja smart watch
","Rs  13,999",https://images.priceoye.pk/zero-ninja-smart-watch-pakistan-priceoye-rwrxu-500x500.webp,N/A,N/A,Silicon,IP67,30.5 grams,Proprietary OS,Yes,Multiple sports modes,N/A,1.78”,368*448 pixel,AMOLED full touch,N/A,N/A,N/A,N/A,No,350 mah,7-9 days
zero,"https://priceoye.pk/smart-watches/zero/zero-spark-smart-watch
","zero spark smart watch
","Rs  7,999",https://images.priceoye.pk/zero-spark-smart-watch-pakistan-priceoye-qb35x-500x500.webp,NO,NA,Anti static Silicone Strap,Ip67,31.7g,Android 5.0 iOS 9.0 and above,yes,NA,NA,1.39,240*240,Full Touch,NA,NA,NA,NA,NA,220 mAH,NA
apple,"https://priceoye.pk/smart-watches/apple/apple-watch-series-8
","apple watch series 8
","Rs  109,999",https://images.priceoye.pk/apple-watch-series-8-pakistan-priceoye-o6frj-500x500.webp,N/A,45 x 38 x 10.7 mm,TPU,IP6X,38.8 g,watchOS 9.0,Yes,Mutiple Modes,No,1.9 inches,484 x 396 pixels,Retina LTPO OLED,1GB RAM,32GB,Wi-Fi 802.11,"Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",Yes,308 mAh,18 hrs
apple,"https://priceoye.pk/smart-watches/apple/apple-watch-series-8-41mm
","apple watch series 8 41mm
","Rs  106,999",https://images.priceoye.pk/apple-watch-series-8-41mm-pakistan-priceoye-kklx8-500x500.webp,eSIM,45 x 38 x 10.7 mm,Silicon,IP6X,51.5 g,watchOS 9.0,Yes,Multiple sports modes,No,1.9 inches,484 x 396 pixels,Retina LTPO OLED,1GB,32GB,Wi-Fi 802.11,"Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",Yes,282 mAh,18-hour
zero,"https://priceoye.pk/smart-watches/zero/zero-bolt-smart-watch
","zero bolt smart watch
","Rs  6,999",https://images.priceoye.pk/videos/zero-bolt-smart-watch-pakistan-priceoye-nasjj.mp4,N/A,N/A,Silicone,IP68,34g,"iOS 8.0+, Android 4.4+",N/A,120+ Sports Modes,N/A,1.85 Inches,240*284 Pixels,TFT Screen,N/A,N/A,N/A,N/A,N/A,300mAh,"10 Days Typical Usage Time, 30 Days Standby Time"
dany,"https://priceoye.pk/smart-watches/dany/dany-smart-fit-3-smart-watch
","dany smart fit 3 smart watch
","Rs  5,299",https://images.priceoye.pk/dany-smart-fit-3-smart-watch-pakistan-priceoye-l49ib-500x500.webp,N/A,44 x 36.5 x 9.9mm,Silicon,IP68,N/A,Proprietary OS,N/A,60 sports modes,N/A,1.75 Inches,320 x 385,Full-Touch,N/A,N/A,N/A,N/A,No,N/A,5 TO 7 DAYS
realme,"https://priceoye.pk/smart-watches/realme/dizo-watch-2-sports
","dizo watch 2 sports
","Rs  5,999",https://images.priceoye.pk/realme-dizo-watch-2-sports-pakistan-priceoye-z7sbs-500x500.webp,No,25.80 x 3.88 x 1.22 cm,N/A,50 Meter Water Resistant,N/A,Proprietary OS,N/A,110+ Fitness Modes,No,1.69 Inches,N/A,Bright Full Touch Screen,N/A,N/A,No,No,No,260 mAh,6-7 Days
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-watch-gt-2-42-mm
","huawei watch gt 2 42 mm
","Rs  27,000",https://images.priceoye.pk/huawei-watch-gt-2-42-mm-pakistan-priceoye-n5cbi-500x500.webp,No,41.8 x 41.8 x 9.4 mm,Metal/Leather,Yes,29 g,Android 4.4 / iOS 9.0 or higher,No,"Accelerometer, Gyroscope, Geomagnetic, Optical heart rate, Ambient light, Air pressure, capacitive Sensors",No,1.2 inches HD,390 x 390,AMOLED Touchscreen,32MB,4GB,No,Supported,No,455 mAh,7 days
apple,"https://priceoye.pk/smart-watches/apple/apple-watch-ultra-49mm
","apple watch ultra 49mm
","Rs  220,000",https://images.priceoye.pk/apple-watch-ultra-49mm-pakistan-priceoye-dggi3-500x500.webp,null,49 x 44 x 14.4 mm,N/A,100m,61.3 g,macOS,Yes,Multiple sports modes,N/A,1.92 inches,502 x 410 pixels,Sapphire crystal glass,1 GB,32GB,N/A,Yes,No,N/A,Up to 20 days
