Display:,Refresh Rate:,Brightness:,Processor:,CPU,GPU:,Rear Camera:,Front Camera:,Battery & Charging:,Water and Dust Resistant:,Security:,Network & Connectivity:,Sensors:,Operating System:,Audio:,Navigation & Positioning:,Dimensions:
" 6.67"" AMOLED DotDisplay",,, Qualcomm® Snapdragon™ 732G,,, 108MP+8MP+5MP+2MP Quad Camera, 16MP," 5020mAh (typ) high-capacity battery, 33W fast charging",,, Dual SIM card – 4G, Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | Gyroscope | Linear vibration motor | IR Blaster, MIUI 12 based on Android 11,,,
 6.43” AMOLED DotDisplay,,, MediaTek Helio G95 - CPU: Max CPU frequency 2.05 GHz,,,, 13MP front camera, 5000mAh (typ) - 33W fast charging,, Arc side fingerprint sensor - AI face unlock, Dual Sim – 4G, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear vibration motor | IR Blaster, MIUI 12.5 based on Android 11, Dual speakers - 3.5mm headphone jack - Hi-Res Audio certification," GPS: L1, Galileo: E1, Glonass: G1, Beidou", Height: 160.46mm - Width: 74.5mm - Thickness: 8.29mm - Weight: 178.8g
 6.43” AMOLED DotDisplay,,, MediaTek Helio G95 - CPU: Max CPU frequency 2.05 GHz,,,, 13MP front camera, 5000mAh (typ) - 33W fast charging,, Arc side fingerprint sensor - AI face unlock, Dual Sim – 4G, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear vibration motor | IR Blaster, MIUI 12.5 based on Android 11, Dual speakers - 3.5mm headphone jack - Hi-Res Audio certification," GPS: L1, Galileo: E1, Glonass: G1, Beidou", Height: 160.46mm - Width: 74.5mm - Thickness: 8.29mm - Weight: 178.8g
 6.67” AMOLED Dot Display - 120Hz Refresh Rate,,, Qualcomm® Snapdragon™ 870,,, 48MP Main Camera, 20MP front camera,,,,, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear motor | IR blaster, MIUI 12 for POCO, Dual speakers - Hi-Res Audio certification, GPS: L1+L5 - Galileo: E1+E5a | GLONASS: G1 | Beidou: B1I+B2a | Navic, Height: 163.7mm | Width: 76.4mm | Thickness: 7.8mm | Weight: 196g
" 6.5"" FHD+ Dot Display",,,,,,,, 5000mAh battery (typ),, Side fingerprint sensor | AI face unlock," Dual SIM, dual standby:5G+5G", Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | IR blaster,, 3.5mm headphone jack, GPS: L1  |  Galileo: E1 | GLONASS: G1 | Beidou, Height: 161.81mm | Width: 75.34mm | Thickness: 8.92mm | Weight: 190g
" 6.5"" FHD+ Dot Display",,,,,,,, 5000mAh battery (typ),, Side fingerprint sensor | AI face unlock," Dual SIM, dual standby:5G+5G", Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | IR blaster,, 3.5mm headphone jack, GPS: L1  |  Galileo: E1 | GLONASS: G1 | Beidou, Height: 161.81mm | Width: 75.34mm | Thickness: 8.92mm | Weight: 190g
" 6.67"" AMOLED DotDisplay",,, Qualcomm® Snapdragon™ 732G,,, 108MP+8MP+5MP+2MP Quad Camera, 16MP," 5020mAh (typ) high-capacity battery, 33W fast charging",,, Dual SIM card – 4G, Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | Gyroscope | Linear vibration motor | IR Blaster, MIUI 12 based on Android 11,,,
 6.67” FHD+ DotDisplay - 120Hz refresh rate,,, Qualcomm® Snapdragon™ 860,,, 48MP main camera, 20MP in-display front camera,,,,, Side fingerprint sensor Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Vibration motor | IR blaster, MIUI 12 based on POCO, 3.5mm headphone jack," GPS/A-GPS, GLONASS, Beidou, Galileo", Height: 165.3mm | Width: 76.8mm | Thickness: 9.4mm | Weight: 215g
 6.67” FHD+ DotDisplay - 120Hz refresh rate,,, Qualcomm® Snapdragon™ 860,,, 48MP main camera, 20MP in-display front camera,,,,, Side fingerprint sensor Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Vibration motor | IR blaster, MIUI 12 based on POCO, 3.5mm headphone jack," GPS/A-GPS, GLONASS, Beidou, Galileo", Height: 165.3mm | Width: 76.8mm | Thickness: 9.4mm | Weight: 215g
 6.55” FHD+ AMOLED DotDisplay,,, Qualcomm® SnapdragonTM 732G,,,,," 4,250mAh battery and 33W fast charging",, Slim arc side fingerprint sensor | AI Face Unlock, Dual Sim Card - 4G,," MIUI 12, Android 11", Dual audio speakers: USB-C headphone jack," GPS: L1 - Glonass: G1, Galileo: E1",
" 6.53"" FHD+ Dot Drop display",,, Qualcomm® Snapdragon™ 662,,, 48MP AI Triple Camera, 8MP Front Camera,,,,, Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | Vibration motor | IR Blaster,, Dual speakers (3.5mm headphone jack), GPS/ A-GPS / GLONASS / Beidou / Galileo, Height: 162.3mm - Width: 77.3mm -Thickness: 9.6mm -Weight: 198g
