link,name
/collections/wireless-earbuds/products/airdots-102,Designer Airdots 102
/collections/wireless-earbuds/products/airdots-101,Airdots 101
/collections/wireless-earbuds/products/airdots-100,Airdots 100
/collections/wireless-earbuds/products/airdots-110,Airdots 110
/collections/wireless-earbuds/products/airdot-200-curve-pro,Airdots 200 Curve Pro
/collections/wireless-earbuds/products/airdots-105,Airdots 105
/collections/wireless-earbuds/products/airdots-220-curve-pro,Airdots 220 Pro Plus
