link,name
/collections/mobile-power-banks/products/alpha-x-250-power-bank-9000-mah,Alpha X-250 Power Bank 9000 Mah
/collections/mobile-power-banks/products/titan-t-100-black-20000-mah-power-bank,TITAN T-100 20000 Mah Black Power Bank
/collections/mobile-power-banks/products/alpha-x-iii-10000-mah-type-c-micro-powerbank,ALPHA X-III 10000 mAh TYPE-C+MICRO POWERBANK
/collections/mobile-power-banks/products/dany-galaxy-101-powerbank,"Galaxy G-101 (10,000 mAh) 18W Wireless Power Bank"
/collections/mobile-power-banks/products/galaxy-g-15-10-000-mah-power-bank,"Galaxy G-15 (10,000 mAh) Power Bank"
/collections/mobile-power-banks/products/magix-powerbank-10-000-mah,"MEGIX POWERBANK 10,000mAh Quick Charge 3.0"
/collections/mobile-power-banks/products/alpha-x200-power-bank-10000-mah,Alpha X200 Power Bank 10000 Mah
